"id","Completed","Last page seen","Start language","Token","Date last action","Date started","IP address","0000","0001","0002","0003","0004","0005 [S05A1]","0005 [S05A2]","0005 [S05A3]","0005 [S05A4]","0005 [other]","0006","0007","0008","0009 [SQ1]","0009 [SQ2]","0009 [SQ3]","0009 [SQ4]","0009 [Ax]","0009 [other]","0010","0011 [SQ001]","0011 [SQ002]","0011 [SQ003]","0011 [SQ004]","0012","0012 [other]","0013","0014 [SQ001]","0014 [SQ002]","0014 [SQ003]","0014 [SQ004]","0014 [SQ005]","0015","0016 [SQ001]","0016 [SQ002]","0016 [SQ003]","0016 [SQ004]","0016 [SQ005]","0016 [SQ006]","0017","0018","0019 [SQ001]","0019 [SQ002]","0019 [SQ003]","0020","0021 [SQ001]","0021 [SQ002]","0021 [SQ003]","0021 [SQ004]","0021 [SQ005]","0021 [SQ006]","0021 [SQ007]","0021 [SQ008]","0021 [SQ009]","0022 [SQ001]","0022 [SQ002]","0022 [SQ003]","0022 [SQ004]","0022 [SQ005]","0022 [SQ006]","0022 [SQ007]","0022 [SQ008]","0022 [SQ009]","0023"
"11","","0","en","","2013-09-01 23:41:31","2013-09-01 23:41:31","86.163.217.126","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"12","","0","en","","2013-09-01 23:43:31","2013-09-01 23:42:18","86.163.217.126","Belarus","Female","33","I have recently finished training (within last 5 years)","No","No","No","Yes","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"13","2013-09-04 06:49:23","7","en","","2013-09-04 06:49:23","2013-09-04 06:40:21","94.226.168.221","Belgium","Male","28","Year 5","No","No","Yes","No","No","","Cognitieve Behavioural Therapy","Yes","Yes","No","Yes","No","No","No","","I feel psychotherapy is a very important part of a psychiatrist's job, complementary to pharmacotherapy and greatly rewarding. It makes dialogue with psychologists a lot easier as well.","No","No","No","No","Yes","","Cognitieve Behavioural, psychodynamic, integrative","2","4","0","0","0","","I pay","I pay","I pay","I don't have it","State / 3rd party pays","I don't have it","Yes","9","Disagree","Agree","Strongly Disagree","","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","Yes","Yes","Yes","Uncertain","No",""
"14","2013-09-04 06:52:52","7","en","","2013-09-04 06:52:52","2013-09-04 06:44:25","143.169.208.155","Belgium","Male","26","Year 2","No","No","No","Yes","No","","","No","Yes","No","Yes","Yes","No","No","","Psychiatry is a medical discipline and its priorities should lie within the biological field of healthcare. Nonetheless, it could be valuable to have knowledge in certain kinds of psychotherapy in the field of psychiatry. It's my opinion that psychotherapy should not be obligated or integrated into a standard psychiatric education. Psychiatrists should decide for themselves if they want to follow such an advanced psychotherapy education.","No","Yes","Yes","No","No","","none","0","0","0","0","0","","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","0","Disagree","Agree","Disagree","","No","No","No","No","No","No","No","No","No","No","No","Yes","Uncertain","Yes","Yes","Yes","Uncertain","No",""
"15","2013-09-04 08:15:44","7","en","","2013-09-04 08:15:44","2013-09-04 07:44:40","86.205.167.145","Belgium","Female","28","Year 3","No","No","No","Yes","No","","","Yes","Yes","No","Yes","Yes","No","No","","","No","No","No","No","Yes","","Doing a PhD at the moment,so no clinical contact;prior hospitals have offered group CBT 
and individual systemic therapy","0","0","0","0","0","","I pay","I pay","I pay","I pay","I pay","I pay","Yes","7.5","Strongly Disagree","Strongly Disagree","Strongly Disagree","","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Despite real interest and enthusiasm for a solid training in psychotherapy- I strongly 
feel this is a crucial part of our training- I have not embarked upon such a training yet in Belgium.
The reasons for this are twofold 1. The generally (very) poor quality of the offered training yet
ridiculously overpriced cost in Belgium (only sustainable because of very,very limited choice/monopoly of certain 
organisations) and 2. The semi-coerced choice in what stream you as a trainee would like to train in,the result
of agreements between the academic (psychiatry department) and non-academic (commercial
organisation offering ""training"" of one circumscribed kind).

However, I am currently doing a phd in the UK and looked into getting a training here (I honestly feel
the need to) and was relieved to find decent programmes being offered- although the cost is considerable,
Yet at least,I would be paying for a solid,decent training at a recognised institute in the stream of my choice."
"16","2013-09-04 08:19:52","7","en","","2013-09-04 08:19:52","2013-09-04 08:04:13","109.128.93.151","Belgium","Male","29","Year 6","No","No","No","Yes","No","","","No","No","No","No","No","No","Yes","","I feel basic knowledge about psychotherapy and the different modalities of psychotherapy is required for any psychiatrist. On the other hand i don't think psychotherapy should be the 'core business' of any psychiatrist. Exceptions can be made for psychiatrists who specialize in psychotherapy and who for example work in the field of personality disorders.
In general a psychiatrist should work in collaboration with other team members who posses psychotherapeutical skills and should be able to refer to them. To be able to supervise a team where there are psychotherapists it is useful that a psychiatric trainee has some (limited) training in psychotherapy during training.","Yes","No","No","No","Yes","","psychoanalysis, cognitive behavioural therapy, family and marital therapy, body-oriented psychotherapy","0","0","0","0","0","","State / 3rd party pays","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","No","0","Agree","Agree","Disagree","","No","No","No","No","No","No","No","No","No","No","No","Uncertain","No","No","Uncertain","Yes","No","No",""
"17","","5","en","","2013-09-04 08:38:57","2013-09-04 08:25:01","144.248.22.6","Belgium","Female","28","Year 5","Yes","No","No","Yes","No","","","Yes","Yes","No","Yes","Yes","No","No","","As a trainee in child and youth adolescent psychiatry, I am convinced of the importance of systemic perspective, also bevause of the role that they play in the development of psychopathology.
CBT is more EBM and about action.","Yes","Uncertain","Yes","Uncertain","Yes","","CBT, systemic, psychodynamic, group psychotherapy","0","0","0","0","0","","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","0","","","","","","","","","","","","","","","","","","","","","","",""
"18","","3","en","","2013-09-04 10:26:00","2013-09-04 10:21:23","213.224.51.10","Belgium","Female","26","Year 2","No","No","No","No","No","In our training programme in psychiatry we have the first 2 years initiative sessions in the different psychotherapy options.","","Yes","Yes","No","Yes","Yes","No","No","","","Yes","Uncertain","Yes","No","Yes","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Family and Marital Therapy, Interpersonal Therapy, Counselling, Group Psychotherapy","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"19","2013-09-04 11:08:14","7","en","","2013-09-04 11:08:14","2013-09-04 10:26:15","213.224.51.10","Belgium","Female","26","Year 2","No","No","No","No","No","During our training programme in psychiatry, the first 2 years we get initiation sessions on the different types of psychotherapy","","Yes","Yes","No","Yes","Yes","Yes","No","","","Yes","Uncertain","Yes","No","Yes","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Family and Marital Therapy, Interpersonal Therapy, Counselling, Group Psychotherapy","4","4","1","0","0","","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","10","Strongly Agree","Strongly Agree","Neutral","","","","","","","","","","","","","","","","","","","",""
"20","2013-09-04 15:44:55","7","en","","2013-09-04 15:44:55","2013-09-04 15:37:51","213.224.51.10","Belgium","Female","29","Year 2","Yes","Yes","No","No","No","","We received a introduction course in cliented centered en systemic therapy yet.","Yes","Yes","No","No","Yes","No","No","","","Yes","Uncertain","Yes","Yes","Yes","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Family and Marital Therapy","0","4","0","0","0","","I pay","State / 3rd party pays","State / 3rd party pays","I don't have it","I don't have it","I pay","Yes","1","Neutral","Agree","Strongly Disagree","","No","Yes","Yes","Uncertain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Uncertain","Uncertain","Yes","Yes","Yes","Yes","Yes",""
"21","","4","en","","2013-09-05 19:27:47","2013-09-05 19:22:05","193.190.253.147","Belgium","Male","26","Year 2","No","No","No","Yes","No","","","Yes","Yes","No","No","Yes","No","No","","","Yes","No","No","No","No","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Family and Marital Therapy,","0","0","0","0","0","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"22","2013-09-06 20:06:09","7","en","","2013-09-06 20:06:09","2013-09-06 19:54:52","81.205.34.191","Belgium","Female","29","Year 4","No","No","Yes","No","No","","Family and Marital Therapy","Yes","Yes","Yes","Yes","Yes","No","No","","I'm convinced that psychotherapy is very important for a psychiatrist. It makes me a more complete doctor and learns me to think in a different way. 
I'm interested in different types of psychotherapy","Yes","Uncertain","Yes","Yes","No","","family and marital therapy
cognitive behavioural therapy
group psychotherapy","0","0","4","0","0","","I pay","I don't have it","I pay","I don't have it","I don't have it","I don't have it","Yes","8","Disagree","Neutral","Neutral","","","","","","","","","","","","","","","","","","","",""
"23","2013-09-09 20:47:58","7","en","","2013-09-09 20:47:58","2013-09-09 20:30:30","178.119.135.47","Belgium","Female","45","I have recently finished training (within last 5 years)","Yes","No","Yes","No","No","","EMDR level 1 and 2, EMDR and dissociative disorders, familytherapy 
during training as GP and master of Sexuality and family sciences","No","Yes","No","Yes","Yes","No","No","EMDR, treatment of dissociative disorders","training in psychotherapy should not be forced on people the way it is done in Belgium. The 'compulsory psychotherapy' results in people being 'brainwashed in a certain way and looking down on people who did not follow the particular training. Abuse of learned techniques, use of cult techniques and breaking of confidentiality are rampant...","Yes","Yes","Yes","No","Yes","","to much psycho analysis, to little cognitive behavior therapy and too little systemic approach. There is no insight in the differentiation between ADHD and dissociative disorders, cultural adaptations and dealing with spiritual problems. The most difficult patients were referred to centers for mental health care and also long-term follow up was not really done, making a candidate less experienced in the most difficult issues","0","1","1","0","3","most of the training is already finished, other is in modules and supervision is once in a while","I pay","I pay","I pay","I don't have it","I don't have it","I don't have it","Yes","30","Strongly Disagree","Disagree","Disagree","","No","No","No","No","No","No","Yes","No","No","Uncertain","Yes","Uncertain","No","No","Yes","No","No","No","it would be good to do make  a serious study about the level of psychotherapy that is currently almost mandatory in Belgium. Thanks for your initiative."
