"id","Completed","Last page seen","Start language","Token","Date last action","Date started","IP address","0000","0001","0002","0003","0004","0005 [S05A1]","0005 [S05A2]","0005 [S05A3]","0005 [S05A4]","0005 [other]","0006","0007","0008","0009 [SQ1]","0009 [SQ2]","0009 [SQ3]","0009 [SQ4]","0009 [Ax]","0009 [other]","0010","0011 [SQ001]","0011 [SQ002]","0011 [SQ003]","0011 [SQ004]","0012","0012 [other]","0013","0014 [SQ001]","0014 [SQ002]","0014 [SQ003]","0014 [SQ004]","0014 [SQ005]","0015","0016 [SQ001]","0016 [SQ002]","0016 [SQ003]","0016 [SQ004]","0016 [SQ005]","0016 [SQ006]","0017","0018","0019 [SQ001]","0019 [SQ002]","0019 [SQ003]","0020","0021 [SQ001]","0021 [SQ002]","0021 [SQ003]","0021 [SQ004]","0021 [SQ005]","0021 [SQ006]","0021 [SQ007]","0021 [SQ008]","0021 [SQ009]","0022 [SQ001]","0022 [SQ002]","0022 [SQ003]","0022 [SQ004]","0022 [SQ005]","0022 [SQ006]","0022 [SQ007]","0022 [SQ008]","0022 [SQ009]","0023"
"10","","3","en","","2013-09-02 17:29:13","2013-09-02 17:21:56","132.72.16.32","Israel","Male","39","Year 3","No","No","Yes","No","No","","Psychotherapy school 3 years training program","Yes","Yes","Yes","Yes","Yes","Yes","No","","","Yes","No","Yes","No","Yes","","Dynamic, family, group, cbt","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"11","2013-09-02 17:55:10","7","en","","2013-09-02 17:55:10","2013-09-02 17:46:57","85.64.186.52","Israel","Male","47","I have recently finished training (within last 5 years)","Yes","No","Yes","No","No","Psychoanslysis","Completed training in psychodynamic psychotherapy, now candidate in psychoanalysis","Yes","Yes","Yes","No","No","No","No","","","Yes","No","Yes","No","Unsure","","Psychodynamic, supportive, CBT, family, group","4","0","4","0","0","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","I don't have it","State / 3rd party pays","I pay","Yes","20","Disagree","Strongly Agree","Neutral","","","","","","","","","","","","","","","","","","","",""
"12","","2","en","","2013-09-02 18:03:12","2013-09-02 17:58:13","195.200.205.70","Israel","Male","38","Year 5","Yes","Yes","Yes","No","No","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy","Yes","Yes","Yes","Yes","No","Yes","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"13","2013-09-02 20:05:19","7","en","","2013-09-02 20:05:19","2013-09-02 19:47:21","94.230.89.210","Israel","Female","38","I have recently finished training (within last 5 years)","Yes","No","Yes","No","No","","besides the psychotherapy we studied during our training in psychiatry, i completed 3 years program of psychodynamic psychotherapy","Yes","Yes","Yes","No","Yes","No","No","","i like the field of psychotherapy, my problem is moral. do we know enoug? are we trained enough to do that? compared to psychologists who spend years of training.","Yes","Uncertain","Yes","Yes","Yes","","psychodynamic psychotherapy
CBT
group therapy
family therapy","4","0","2","0","4","summer course in CBT","I don't have it","State / 3rd party pays","State / 3rd party pays","I don't have it","State / 3rd party pays","I pay","Yes","0","Strongly Disagree","Strongly Agree","Strongly Disagree","","","","","","","","","","","","","","","","","","","",""
"14","","3","en","","2013-09-02 21:27:07","2013-09-02 21:19:45","87.69.14.192","Israel","Female","29","Year 2","Yes","Yes","No","No","No","","psychodynamic psychotherapy, cognitive behavioral therapy","Yes","Yes","Yes","Yes","No","No","No","","","Yes","No","Yes","No","Yes","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Family and Marital Therapy, Interpersonal Therapy,Group Psychotherapy,","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"15","2013-09-03 07:10:47","7","en","","2013-09-03 07:10:47","2013-09-03 07:05:10","212.179.140.132","Israel","Female","36","I have recently finished training (within last 5 years)","No","No","No","Yes","No","","","Yes","Yes","Yes","Yes","No","No","No","","i believe psychotherapy training is important even if i dont practice it in day to day basis in my clinic","Uncertain","No","Yes","No","Yes","","CBT
dynamic psychotherapy
group psychotherapy","1","1","0","0","0","","State / 3rd party pays","State / 3rd party pays","I don't have it","I don't have it","State / 3rd party pays","I don't have it","Yes","5","Disagree","Neutral","Disagree","","","","","","","","","","","","","","","","","","","",""
"16","2013-09-03 18:54:06","7","en","","2013-09-03 18:54:06","2013-09-03 18:48:21","46.117.12.222","Israel","Male","33","Year 2","No","Yes","Yes","No","No","","Psychodynamic Psychotherapy, Group Psychotherapy","Yes","Yes","Yes","Yes","No","No","No","","","Yes","No","Yes","Uncertain","Yes","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Family and Marital Therapy,  Group Psychotherapy,","5","4","4","0","0","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","I don't have it","State / 3rd party pays","I don't have it","Yes","0","Agree","Strongly Agree","Neutral","","","","","","","","","","","","","","","","","","","",""
"17","2013-09-04 10:19:48","7","en","","2013-09-04 10:19:48","2013-09-04 09:55:27","194.114.146.227","Israel","Male","35","Year 4","No","Yes","No","No","No","","Psychodynamic Psychotherapy
Cognitive Behavioral Therapy
Psychotherapy by Hypnosis
Mindfulness based Psychotherapy
Group Therapy","Yes","Yes","Yes","Yes","No","Yes","No","hypnosis, mindfulness","I believe psychotherapy is crucial to my training in psychiatry and I'm trying to learn and experience during my residency in psychiatry as many modalities in psychotherapy as possible.","Yes","Uncertain","Yes","No","Other","it depends what kind of psychotherapy","Psychodynamic Psychotherapy
Cognitive Behavioral Therapy
Group Therapy","4","4","4","0","0","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","I don't have it","State / 3rd party pays","I don't have it","Yes","0","Agree","Neutral","Disagree","","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","I would like to be notified about the results of this survey once concluded,
My E-mail address is:
sroyigil@mail.technion.ac.il"
"18","2013-09-04 19:00:53","7","en","","2013-09-04 19:00:53","2013-09-04 18:41:54","93.172.81.48","Israel","Female","44","Year 5","Yes","Yes","No","No","No","","PsychoDynamic Psychotherapy. Theoretic seminars in CBT, Body-oriented Psychotherapy,Psychotherapy in primary mental states.","Yes","Yes","Yes","Yes","No","No","No","","","Yes","No","Yes","No","Unsure","","Psychodynamic Psychotherapy, CBT, Counselling, Group Psychotherapy, Psychotherapy through art, psychodrama etc.","4","0","0","0","0","","State / 3rd party pays","State / 3rd party pays","I don't have it","I don't have it","State / 3rd party pays","I pay","Yes","10","Neutral","Neutral","Disagree","","","","","","","","","","","Yes","No","Uncertain","No","Yes","Yes","Yes","Yes","Yes",""
"19","","4","en","","2013-09-04 21:56:35","2013-09-04 21:40:52","194.114.146.227","Israel","Male","35","Year 4","Yes","Yes","Yes","No","No","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Group Psychotherapy","Yes","Yes","Yes","Yes","No","No","No","IPT","","Yes","No","Yes","No","Yes","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Counselling, Group Psychotherapy","4","0","2","0","0","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","I don't have it","State / 3rd party pays","I pay","Yes","","","","","","","","","","","","","","","","","","","","","","","",""
"20","2013-09-05 08:06:41","7","en","","2013-09-05 08:06:41","2013-09-05 07:57:20","195.200.205.72","Israel","Female","35","Year 5","No","Yes","Yes","No","No","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy","Yes","Yes","Yes","Yes","No","Yes","No","","","Uncertain","No","Yes","No","Unsure","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Family and Marital Therapy","4","1","0","0","0","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","I don't have it","State / 3rd party pays","I don't have it","Yes","15","Disagree","Agree","Strongly Disagree","","Yes","Yes","Uncertain","Uncertain","Uncertain","Uncertain","Yes","Yes","Uncertain","Yes","No","No","No","","","","Uncertain","Uncertain",""
"21","2013-09-05 17:15:00","7","en","","2013-09-05 17:15:00","2013-09-05 17:07:01","87.69.72.30","Israel","Female","37","Year 5","Yes","No","Yes","No","No","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy,","Yes","Yes","Yes","Yes","Yes","Yes","No","","","Uncertain","Yes","Uncertain","Uncertain","Unsure","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Family and Marital Therapy, group therapy","0","1","4","0","0","","I don't have it","I pay","I don't have it","I don't have it","State / 3rd party pays","I pay","Yes","10","Disagree","Disagree","Strongly Disagree","","Yes","Yes","Yes","Yes","Uncertain","Yes","Yes","Yes","Yes","","","","","","","","","",""
